Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes	
 -9.  -9.     95281.9	 -9. 1040.0	 IC 18.09  0.04	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     95290.6	 -9. 1040.0	 RC 18.50  0.03	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     95826.2	 -9. 2000.0	 BJ 19.06  0.04	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     95843.5	 -9. 1920.0	 VJ 18.69  0.07	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     96405.1	 -9. 960.0	 RC 18.58  0.03	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     96405.1	 -9. 960.0	 IC 18.15  0.04	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     97485.1	 -9. 960.0	 IC 18.13  0.04	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     97519.7	 -9. 1040.0	 RC 18.56  0.03	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     98046.7	 -9. 2000.0	 BJ 19.17  0.05	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     98081.3	 -9. 1920.0	 VJ 18.82  0.09	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     98608.3	 -9. 1040.0	 IC 18.08  0.04	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     98625.6	 -9. 960.0	 RC 18.54  0.03	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     99748.8	 -9. 960.0	 RC 18.58  0.03	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     99792.0	 -9. 1040.0	 IC 18.17  0.05	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    100370.9	 -9. 2000.0	 VJ 18.84  0.07	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    100370.9	 -9. 2080.0	 BJ 19.22  0.06	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    100949.8	 -9. 1040.0	 RC 18.62  0.03	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    100958.4	 -9. 1040.0	 IC 18.17  0.05	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    102107.5	 -9. 1040.0	 RC 18.63  0.04	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    102176.6	 -9. 960.0	 IC 18.35  0.06	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    102384.0	 -9. 1520.0	 BJ 19.29  0.08	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
