GRB	GCN	Telescope
050502	3345	automated-Palomar-60inch
050502	3344	automated-Palomar-60inch
050502	3324	Liverpool
050502	3342	Red-Buttes/24-inch
050502	3338	ANU-1m
050502	3326	PAIRITEL-1.3m
050502	3328	ANU-1m
050502	3331	ANU-1m
050502	3332	KeckI-HIRES
050502	3334	Lulin/1m
050502	3335	Lulin/1m
050502	3355	Palomar-5m-Hale
050505	4184	USNOFS-1.0m
050505	3398	SARA-0.9m
050505	3376	INTA-CSIC/0.2m,0.6m-BOOTES-1B
050505	3375	Haleakala/2m-Faulkes
050505	3371	Swift/UVOT
050505	3368	KECK-I-10m
050505	3367	Swift/UVOT
050505	3366	10m-Keck-I
050505	3403	TAROT-robotic
050525	3551	Swift/UVOT
050525	3475	Swift/UVOT
050525	3567	ARC-3.5m
050525	3855	USNOFS-1.0m
050525	3506	1.3m-CTIO
050525	3471	Fred-Whipple/1.2m
050525	3492	UAPhO/0.4m,CrAO/AT-64
050525	3491	SARA-0.9m
050525	3489	Okayama/Mitsume-50cm
050525	3470	Slooh-14-inch-f/6.3
050525	3473	TAROT-robotic
050525	3481	Ondrejov/BART
050525	3483	Gemini-North-GMOS
050525	3485	0.6m-Super-LOTIS
050525	3493	Russian-Turkish-1.5m
050525	3486	Lulin/1.0m
050525	3488	MDM-2.4m
050525	3487	University_of_Miyazaki/30cm
050603	3089	Italian-TNG
050603	3511	Las-Campanas/du-Pont-100-inch
050603	3516	Swift/UVOT
050603	3520	Magellan/Baade-IMACS
050709	3702	**WARNING**
050709	3605	Gemini-North-GMOS
050709	3577	Swift/UVOT
050709	3572	Las-Campanas/40-inch-Swope
050709	3571	Bronberg/30cm
050709	3569	PROMPT-5
050709	5062	Tautenburg-1.34m-Schmidt
050724	3670	Swift/UVOT
050724	5944	Magellan-Clay-6.5m
050724	3680	3.5m-Calar-Alto
050724	3801	Gemini-north-GMOS
050724	3699	La-Palma/William-Herschel
050724	3694	CTIO/1.3m
050724	3681	Las-Campanas/1.0m-Swope
050724	3674	Osaka/14-inch-Automated-Response
050724	3798	Magellan/Baade-6.5m
050724	3673	Calar-Alto/3.5m
050724	3671	Russian-Turkish-1.5m
050724	3668	Lulin/1.0m
050730	3720	TAROT-robotic
050730	3704	Swift/UVOT
050730	3705	1.5m-OSN
050730	3717	Swift/UVOT
050730	3706	2m-Liverpool
050730	3708	CTIO/1.3m
050730	3710	La-Palma/William-Herschel
050730	3718	Russian-Turkish-1.5m
050730	3775	IAO/2m-HCT
050730	3741	0.8m-(F/15)
050730	5002	Magellan-Clay-MIKE
050801	3733	Swift/UVOT
050801	3728	Bronberg/30cm
050801	3729	CTIO/1.3m
050802	3765	3.5m-Italian-National
050802	3745	Swift/UVOT
050802	3749	NOT+ALFOSC
050802	3744	CrAO/2.6m-Shain
050802	3738	Lulin-O1m
050802	3739	Swift/UVOT
050802	21519	Palomar-Oschin-48-inch
050802	3742	Swift/UVOT
050802	3756	NOT+ALFOSC
050803	3774	IAO/2m-HCT
050803	3750	MASTER-Vostrykovo
050803	3763	Russian-Turkish-1.5m
050803	3783	CrAO2.6m-Shain
050803	3760	CrAO/2.6m-Shain
050803	3751	TAROT-robotic-25cm
050814	3818	NOT+ALFOSC
050814	3809	NOT+ALFOSC
050814	3807	automated-Palomar-60inch
050814	3804	Swift/UVOT
050820	3843	2.3m-WIRO
050820	3836	RAPTOR
050820	3834	automated-Palomar-60inch
050820	3838	Swift/UVOT
050820	11187	TLS-1.34m-Schmidt
050820	3851	Swift/UVOT
050820	3853	Russian-Turkish-1.5m
050820	3845	USNOFS-1.0m
050820	3829	robotic-Palomar-60inch
050820	3854	Malargue/-Robotic-FRAM
050820	3863	**WARNING**
050820	3864	Russian-Turkish-1.5m
050820	3896	Russian-Turkish-1.5m
050824	3897	MAO/1.5m
050824	3880	Swift/UVOT
050824	3878	Swift/UVOT
050824	3865	1.5m-OSN
050824	3907	MDM-1.3m
050824	3874	ESO-VLT-FORS2
050826	3887	Swift/UVOT
050826	5982	MDM-2.4m
050826	3898	Lulin/1m
050826	3891	MDM-1.3m
050904	3923	Swift/UVOT
050904	3939	2.6m-Shain
050904	14804	robotic-Palomar-60inch
050904	3911	TAROT-robotic
050904	3912	Palomar-Robotic-60-inch
050904	3921	3.6m-TNG
050904	3929	BOOTES-1B-30cm-robotic
050904	6018	HST-NICMOS
050904	5300	IRAM-30m
050904	3937	Subaru-8.2m
050908	3954	Swift/UVOT
050908	3960	Swift/UVOT
050908	3949	Gemini-North-GMOS
050908	3943	NMS/0.30m
050908	3944	automated-Palomar-60inch
050908	3945	0.76m-Katzman-Automatic-Imaging
050908	4049	1.5m-MAO
050915	24289	0.76m-Katzman-Automatic-Imaging
050915	3980	60cm-OCS
050915	3981	automated-Palomar-60inch
050915	3985	0.76m-Katzman-Automatic-Imaging
050915	3988	CTIO/1.3m
050915	3986	Swift/UVOT
050915	3992	Swift/UVOT
050922	4040	NOT+ALFOSC,la-silla/Danish-1.5m
050922	4025	INT-2.5m
050922	4024	14-inch-Automated-Response
050922	4009	University_of_Miyazaki/30cm
050922	4017	NOT+ALFOSC
050922	4016	Terskol-60cm
050922	4015	NOT-2.56m
050922	4026	MonteBoo-60cm
050922	4018	1m-WISE
050922	4027	N.-Copernicus/40cm
050922	4048	Peak-Terskol/60cm
050922	4047	UAPhO/0.4m
050922	4028	Swift/UVOT
050922	4041	Swift/UVOT
050922	4095	Swift/UVOT
051006	4064	1.5m-OSN
051006	4068	automated-Palomar-60inch
051006	4089	Swift/UVOT
