time_sec	mag	mag_err	band	source
44017.1	19.357837511351345	0.120034	i	nissim
44331.3	19.296279511351347	0.121571	i	nissim
44423.8	19.271676511351345	0.105382	i	nissim
44617.1	19.276054511351347	0.125312	i	nissim
44733.2	19.054902511351347	0.109946	i	nissim
44949.3	19.190107511351346	0.099177	i	nissim
45263.2	19.191824511351346	0.101633	i	nissim
45385.4	19.222627511351345	0.10591	i	nissim
45482.5	19.424643511351345	0.143739	i	nissim
45695.1	19.382749511351346	0.116059	i	nissim
46181.7	19.384886511351347	0.130172	i	nissim
46303.3	19.066358511351346	0.111062	i	nissim
38019.05	18.850747511351347	0.005237	i	nissim
29823.05	18.297192523460982	0.054615	Z	nissim
30116.05	18.28473252346098	0.053346	Z	nissim
30203.05	18.28749052346098	0.053831	Z	nissim
30500.05	18.32663452346098	0.055669	Z	nissim
30597.05	18.261280523460982	0.050249	Z	nissim
30894.05	18.286711523460983	0.0531	Z	nissim
30985.1	18.239874523460983	0.05152	Z	nissim
31271.1	18.21119752346098	0.051566	Z	nissim
31389.1	18.36410152346098	0.057849	Z	nissim
31684.1	18.334716523460983	0.054887	Z	nissim
31780.1	18.44777052346098	0.063013	Z	nissim
32080.1	18.298668523460982	0.052712	Z	nissim
32173.15	18.29022052346098	0.05353	Z	nissim
32472.15	18.381376523460982	0.059153	Z	nissim
32563.15	18.39777452346098	0.057839	Z	nissim
32854.149999999994	18.386671523460983	0.062385	Z	nissim
32966.149999999994	18.337824523460984	0.05747	Z	nissim
33259.149999999994	18.586300523460984	0.071528	Z	nissim
33361.149999999994	18.446542523460984	0.066618	Z	nissim
33649.149999999994	18.387664523460984	0.062369	Z	nissim
33740.149999999994	18.472221523460984	0.066045	Z	nissim
34051.149999999994	18.541324523460982	0.070518	Z	nissim
34147.149999999994	18.460048523460983	0.066019	Z	nissim
34433.149999999994	18.531953523460984	0.075146	Z	nissim
35411.149999999994	18.491710523460984	0.073785	Z	nissim
35701.149999999994	18.47188352346098	0.082715	Z	nissim
36090.149999999994	18.432710523460983	0.073052	Z	nissim
36567.149999999994	18.56176252346098	0.081098	Z	nissim
36987.149999999994	18.581035523460983	0.082837	Z	nissim
37659.149999999994	18.52641752346098	0.078217	Z	nissim
37749.149999999994	18.553331523460983	0.085144	Z	nissim
38067.149999999994	18.57669652346098	0.08521	Z	nissim
38164.149999999994	18.59533552346098	0.08391	Z	nissim
38460.149999999994	18.811757523460983	0.099833	Z	nissim
38572.149999999994	18.557261523460983	0.088347	Z	nissim
38858.149999999994	18.60280052346098	0.094616	Z	nissim
38949.149999999994	18.791953523460982	0.113065	Z	nissim
39252.149999999994	18.702094523460982	0.107625	Z	nissim
39340.149999999994	18.570811523460982	0.090994	Z	nissim
39649.2	18.773402523460984	0.11783	Z	nissim
39745.2	18.77439552346098	0.118783	Z	nissim
41887.25	18.90323552346098	0.121907	Z	nissim
43114.25	18.651841523460984	0.108497	Z	nissim
38066.65	18.549730523460983	0.011597	Z	nissim
29915.05	18.08445818434024	0.06538	Y	nissim
30017.05	18.11341018434024	0.067989	Y	nissim
30306.05	18.280624184340237	0.078302	Y	nissim
30408.05	18.07823018434024	0.06516	Y	nissim
30695.05	18.229605184340237	0.073814	Y	nissim
30794.05	18.299056184340238	0.081142	Y	nissim
31087.1	18.175316184340236	0.072743	Y	nissim
31180.1	18.187106184340237	0.075375	Y	nissim
31484.1	18.137990184340236	0.070658	Y	nissim
31575.1	18.497867184340237	0.096434	Y	nissim
31884.1	18.27436318434024	0.078943	Y	nissim
31987.1	18.094547184340236	0.067069	Y	nissim
32270.15	18.15964518434024	0.067272	Y	nissim
32372.15	18.262988184340237	0.075539	Y	nissim
32660.15	18.13550118434024	0.067678	Y	nissim
32759.149999999998	18.260697184340238	0.07572	Y	nissim
33066.149999999994	18.10349418434024	0.066774	Y	nissim
33162.149999999994	18.319468184340238	0.081111	Y	nissim
33458.149999999994	18.50290118434024	0.097436	Y	nissim
33555.149999999994	18.304067184340237	0.080663	Y	nissim
33849.149999999994	18.334174184340238	0.088628	Y	nissim
33958.149999999994	18.28328018434024	0.083482	Y	nissim
34240.149999999994	18.302357184340238	0.085492	Y	nissim
34337.149999999994	18.251440184340236	0.082839	Y	nissim
35509.149999999994	18.475300184340238	0.10476	Y	nissim
35597.149999999994	18.47293018434024	0.102825	Y	nissim
35889.149999999994	18.47985218434024	0.105403	Y	nissim
36271.149999999994	18.48150818434024	0.108614	Y	nissim
36665.149999999994	18.491215184340238	0.106504	Y	nissim
36767.149999999994	18.34805818434024	0.096661	Y	nissim
37181.149999999994	18.595326184340237	0.149638	Y	nissim
37466.149999999994	18.284252184340236	0.085391	Y	nissim
37566.149999999994	18.358843184340238	0.094352	Y	nissim
37953.149999999994	18.49921318434024	0.108156	Y	nissim
38269.149999999994	18.423578184340236	0.097019	Y	nissim
38360.149999999994	18.47607518434024	0.105622	Y	nissim
38672.149999999994	18.453350184340238	0.100904	Y	nissim
38766.149999999994	18.46030118434024	0.110512	Y	nissim
39058.149999999994	18.583282184340238	0.117439	Y	nissim
39836.2	18.595340184340237	0.124415	Y	nissim
39931.2	18.659219184340238	0.133223	Y	nissim
41593.25	18.900410184340238	0.174484	Y	nissim
38066.65	18.389521184340236	0.016879	Y	nissim
29822.05	17.760321621641992	0.083085	J	nissim
30115.05	17.810405621641994	0.085564	J	nissim
30204.05	17.845752621641992	0.088301	J	nissim
30503.05	18.092453621641994	0.106914	J	nissim
30601.05	17.886237621641992	0.087033	J	nissim
30891.05	17.894121621641993	0.088528	J	nissim
30988.1	17.956172621641993	0.092391	J	nissim
31272.1	18.124279621641993	0.109122	J	nissim
31386.1	18.038074621641993	0.09825	J	nissim
31685.1	18.304757621641993	0.120514	J	nissim
31776.1	18.156747621641994	0.10659	J	nissim
32083.1	18.093288621641992	0.095724	J	nissim
32177.15	18.08495162164199	0.092883	J	nissim
32472.15	17.90831762164199	0.080112	J	nissim
32567.15	18.086599621641994	0.093602	J	nissim
32852.149999999994	18.330010621641993	0.118871	J	nissim
32967.149999999994	18.022851621641994	0.089891	J	nissim
33260.149999999994	17.951308621641992	0.084414	J	nissim
33356.149999999994	18.121266621641993	0.096558	J	nissim
33652.149999999994	18.045513621641994	0.091509	J	nissim
33744.149999999994	18.213409621641993	0.111418	J	nissim
34052.149999999994	18.23791162164199	0.110723	J	nissim
34141.149999999994	18.035842621641994	0.092343	J	nissim
34430.149999999994	18.205115621641994	0.109419	J	nissim
35411.149999999994	17.848190621641994	0.079538	J	nissim
36090.149999999994	18.36843762164199	0.131281	J	nissim
36572.149999999994	18.069044621641993	0.095399	J	nissim
36987.149999999994	18.25252362164199	0.111174	J	nissim
37663.149999999994	18.239220621641994	0.10978	J	nissim
37754.149999999994	18.287576621641993	0.119722	J	nissim
38074.149999999994	18.229688621641994	0.111872	J	nissim
38166.149999999994	18.31121862164199	0.116726	J	nissim
38457.149999999994	18.41044662164199	0.124852	J	nissim
38572.149999999994	18.338149621641993	0.128264	J	nissim
38858.149999999994	18.106862621641994	0.106602	J	nissim
39250.149999999994	18.250041621641994	0.122949	J	nissim
39342.149999999994	18.583756621641992	0.158966	J	nissim
41495.25	18.24660362164199	0.116916	J	nissim
41891.25	18.326337621641994	0.127033	J	nissim
38066.65	18.221900621641993	0.016547	J	nissim
29916.05	17.481810801293733	0.080314	H	nissim
30014.05	17.423226801293733	0.07476	H	nissim
30307.05	17.620307801293734	0.092865	H	nissim
30405.05	17.82547280129373	0.112246	H	nissim
30692.05	17.571250801293733	0.087716	H	nissim
30800.05	17.59575280129373	0.088855	H	nissim
31089.1	17.63208680129373	0.09254	H	nissim
31176.1	17.63173780129373	0.096136	H	nissim
31487.1	17.737249801293732	0.106058	H	nissim
31576.1	17.74363980129373	0.105708	H	nissim
31880.1	17.572830801293733	0.089439	H	nissim
31983.1	17.533091801293732	0.083718	H	nissim
32272.15	17.71564180129373	0.094642	H	nissim
32378.15	17.79892280129373	0.099624	H	nissim
32663.15	17.470160801293733	0.076101	H	nissim
32761.149999999998	17.748466801293734	0.095913	H	nissim
33063.149999999994	17.626614801293734	0.090106	H	nissim
33164.149999999994	17.77961680129373	0.10571	H	nissim
33454.149999999994	17.668317801293732	0.095652	H	nissim
33556.149999999994	17.632004801293732	0.093341	H	nissim
33846.149999999994	17.848917801293734	0.115863	H	nissim
33955.149999999994	17.919369801293733	0.118061	H	nissim
34244.149999999994	17.725403801293734	0.104779	H	nissim
34331.149999999994	17.86994180129373	0.119823	H	nissim
35504.149999999994	17.822235801293733	0.119373	H	nissim
35600.149999999994	17.919455801293733	0.131753	H	nissim
35893.149999999994	18.171785801293733	0.165783	H	nissim
36276.149999999994	17.805097801293734	0.121506	H	nissim
36667.149999999994	17.787878801293733	0.113292	H	nissim
36768.149999999994	17.956604801293732	0.132193	H	nissim
37183.149999999994	17.68676180129373	0.133463	H	nissim
37467.149999999994	17.966237801293733	0.130626	H	nissim
37568.149999999994	17.731025801293733	0.108091	H	nissim
37956.149999999994	17.912657801293733	0.123801	H	nissim
38267.149999999994	17.93864580129373	0.125205	H	nissim
38363.149999999994	17.992675801293732	0.13219	H	nissim
38671.149999999994	17.74743380129373	0.107335	H	nissim
38764.149999999994	17.507717801293733	0.092434	H	nissim
39930.2	17.736955801293732	0.118212	H	nissim
41681.25	18.18383480129373	0.183298	H	nissim
38066.65	17.83857180129373	0.01862	H	nissim
