time	flux	flux_err	band
993.0	7.1391628437808665e-12	3.8382165995351724e-13	R
1000.1	7.1391628437808665e-12	3.8382165995351724e-13	R
1007.1	6.944600836379508e-12	3.7336145414526414e-13	R
1014.1	6.632042311620687e-12	3.5655742061489583e-13	R
1021.2	7.339175758385668e-12	3.945749220061741e-13	R
1027.0	7.900367400617533e-12	4.932830850427665e-13	R
1032.9	7.339175758385668e-12	3.945749220061741e-13	R
1039.9	6.632042311620687e-12	3.5655742061489583e-13	R
1047.0	6.510993897455111e-12	3.500495142571851e-13	R
1054.0	6.755341183827349e-12	3.631863179851353e-13	R
1059.9	7.544792294435195e-12	4.710816890256246e-13	R
1065.7	6.6934078435858576e-12	3.5985660580764366e-13	R
1072.8	6.944600836379508e-12	3.7336145414526414e-13	R
1078.6	7.756169444658403e-12	4.842796540672736e-13	R
1083.3	7.756169444658403e-12	4.842796540672736e-13	R
1089.2	6.392154865842227e-12	3.991133212421526e-13	R
1096.2	6.6934078435858576e-12	3.5985660580764366e-13	R
1103.3	6.817847586210432e-12	3.6654683961004897e-13	R
1110.3	6.6934078435858576e-12	3.5985660580764366e-13	R
1117.3	6.451300746600396e-12	3.4684024102022977e-13	R
1124.4	6.333551237778214e-12	3.9545422831898417e-13	R
1131.4	6.275484891005791e-12	3.9182868216136987e-13	R
1138.4	6.451300746600396e-12	3.4684024102022977e-13	R
1145.5	6.6934078435858576e-12	3.5985660580764366e-13	R
1152.5	6.160944383197926e-12	3.846770027281554e-13	R
1159.5	6.160944383197926e-12	3.846770027281554e-13	R
1167.8	5.77626738046977e-12	3.1054853108423014e-13	R
1177.1	5.993041544600074e-12	3.2220292549044424e-13	R
1185.3	6.104460505580166e-12	3.811502627686455e-13	R
1192.4	6.6934078435858576e-12	3.5985660580764366e-13	R
1199.4	5.993041544600074e-12	3.741934864546566e-13	R
1206.5	5.938097009459241e-12	3.7076285995006144e-13	R
1213.5	6.217950899700438e-12	3.882363752107076e-13	R
1221.7	5.67083861910963e-12	3.048803815998201e-13	R
1231.1	5.36595823750981e-12	3.350396632696483e-13	R
1240.5	5.56733414950918e-12	3.4761317106836954e-13	R
1249.9	5.8297145244897305e-12	3.1342200126364484e-13	R
1258.1	6.04849447526509e-12	3.7765585615545994e-13	R
1265.1	5.993041544600074e-12	3.741934864546566e-13	R
1273.3	5.516292523226097e-12	2.965715447852869e-13	R
1281.5	6.04849447526509e-12	3.7765585615545994e-13	R
1289.7	5.4657188493855514e-12	3.4126851566302615e-13	R
1297.9	6.160944383197926e-12	3.846770027281554e-13	R
1306.2	5.8297145244897305e-12	3.1342200126364484e-13	R
1314.4	6.217950899700438e-12	3.882363752107076e-13	R
1322.6	5.56733414950918e-12	2.9931568750278236e-13	R
1332.0	5.77626738046977e-12	3.1054853108423014e-13	R
1342.5	5.883656208844434e-12	3.163220593352542e-13	R
1351.9	5.938097009459241e-12	3.7076285995006144e-13	R
1360.1	5.077469090668687e-12	3.170269799172339e-13	R
1369.5	5.993041544600074e-12	3.2220292549044424e-13	R
1378.9	5.516292523226097e-12	2.965715447852869e-13	R
1388.2	5.618848058145418e-12	3.0208522146020017e-13	R
1397.6	5.4657188493855514e-12	2.938525605194593e-13	R
1408.2	4.716798115145289e-12	2.9450740804546786e-13	R
1439.9	5.030918574240162e-12	3.141204590948724e-13	R
1450.4	4.5882522716240155e-12	2.864812635579791e-13	R
1462.2	4.939093961761311e-12	2.6553971166535975e-13	R
1473.9	4.939093961761311e-12	2.6553971166535975e-13	R
1484.4	5.171866288866092e-12	3.2292095152449927e-13	R
1493.8	5.171866288866092e-12	3.2292095152449927e-13	R
1503.2	5.124450333722525e-12	3.1996039444563325e-13	R
1513.8	4.716798115145289e-12	2.9450740804546786e-13	R
1525.5	5.030918574240162e-12	2.704764634887089e-13	R
1537.2	4.630706847184426e-12	2.891320420527754e-13	R
1547.8	5.3167628366852175e-12	3.3196800117369407e-13	R
1558.3	4.630706847184426e-12	2.891320420527754e-13	R
1570.0	4.939093961761311e-12	3.0838711457688493e-13	R
1581.8	4.760442110751453e-12	2.9723245154084294e-13	R
1592.3	5.124450333722525e-12	3.1996039444563325e-13	R
